scenario,hour,mkt,q,r,u,l,S
1,1,0.0,30.880532554565,0.0,0.0,0.0,89.3365059268368
1,2,34.2724185521658,0.0,34.1230260160499,0.0,0.0,56.9196312115893
1,3,0.0,21.400388198327,0.0,0.0,0.0,77.25
1,4,89.1127210801322,45.0,0.0,0.0,0.0,120.0
1,5,81.2,0.0,0.0,0.0,0.0,120.0
1,6,90.1,0.0,0.0,0.0,0.0,120.0
1,7,36.475465202271,0.0,0.0,0.0,0.0,120.0
1,8,111.381439179475,0.0,5.41856082052492,0.0,0.0,114.852367220501
1,9,98.8,0.0,55.0,0.0,0.0,62.6023672205013
1,10,0.0,10.718679057621,0.0,0.0,0.0,72.7851123252413
1,11,0.0,0.0,18.721170868675,0.0,0.0,55.0
1,12,117.26464282966,0.0,0.0,0.0,0.0,55.0
1,13,71.781043365801,0.0,0.0,0.0,0.0,55.0
1,14,53.6754797028979,11.8653495116679,0.0,0.0,0.0,66.2720820360845
1,15,16.503260312007,45.0,0.0,0.0,0.0,109.022082036085
1,16,0.0,11.555703119911,0.0,0.0,0.0,120.0
1,17,67.302795578151,0.0,0.18555785976,0.0,0.0,119.823720033228
1,18,0.0,0.185557859759996,0.0,0.0,0.0,120.0
1,19,118.364923347598,0.0,55.0,0.0,0.0,67.75
1,20,0.0,0.0,7.86619820263101,0.0,0.0,60.2771117075005
1,21,32.4721767076491,0.0,5.55485442894792,0.0,0.0,55.0
1,22,0.0,15.367493860677,0.0,0.0,0.0,69.5991191676432
1,23,48.24008781923,0.0,15.367493860677,0.0,0.0,55.0
1,24,53.912837736192,0.0,0.0,0.0,0.0,55.0
2,1,0.0,42.580532554565,0.0,0.0,0.0,100.451505926837
2,2,5.35175411891384,0.0,47.8436904493019,0.0,0.0,55.0
2,3,0.0,42.700388198327,0.0,0.0,0.0,95.5653687884107
2,4,42.6333855133841,25.7206644332519,0.0,0.0,0.0,120.0
2,5,48.0,0.0,0.0,0.0,0.0,120.0
2,6,48.075465202271,0.0,5.02453479772902,0.0,0.0,115.226691942157
2,7,0.0,5.02453479772902,0.0,0.0,0.0,120.0
2,8,58.8789473684211,0.0,13.4210526315789,0.0,0.0,107.25
2,9,61.0,0.0,55.0,0.0,0.0,55.0
2,10,0.0,43.018679057621,0.0,0.0,0.0,95.86774510474
2,11,0.0,8.57882913132499,0.0,0.0,0.0,104.017632779499
2,12,41.8671346407139,0.0,51.597508188946,0.0,0.0,55.0
2,13,51.181043365801,0.0,0.0,0.0,0.0,55.0
2,14,23.81013019123,0.0,0.0,0.0,0.0,55.0
2,15,0.0,37.465349511668,0.0,7.33139017632504,0.0,90.5920820360846
2,16,0.0,30.955703119911,0.0,0.0,0.0,120.0
2,17,4.68174294657207,0.0,40.2066104913389,0.0,0.0,81.803720033228
2,18,0.0,26.78555785976,0.0,0.0,0.0,107.25
2,19,87.0649233475979,0.0,55.0,0.0,0.0,55.0
2,20,0.0,22.033801797369,0.0,0.0,0.0,75.9321117075005
2,21,0.0,0.0,13.327031136597,0.0,0.0,63.2714321277334
2,22,0.0,33.667493860677,0.0,0.0,0.0,95.2555512953766
2,23,7.03331715845798,0.0,42.374264521449,0.0,0.0,55.0
2,24,40.512837736192,0.0,0.0,0.0,0.0,55.0
3,1,0.0,45.0,0.0,4.88053255456504,0.0,102.75
3,2,0.0,0.0,41.8954445682157,0.0,0.0,62.9493276601951
3,3,0.0,45.0,0.0,17.000388198327,0.0,105.699327660195
3,4,0.0,2.9533393050578,0.0,5.13393961481003,0.0,108.505
3,5,0.0,0.0,15.8,0.0,0.0,93.495
3,6,0.0,0.0,17.1,0.0,0.0,77.25
3,7,0.0,45.0,0.0,0.124534797729041,0.0,120.0
3,8,15.778947368421,0.0,13.4210526315789,0.0,0.0,107.25
3,9,25.3,0.0,55.0,0.0,0.0,55.0
3,10,0.0,45.0,0.0,27.218679057621,0.0,97.75
3,11,0.0,23.4210526315789,0.0,7.65777649974607,0.0,120.0
3,12,19.5646428296599,0.0,55.0,0.0,0.0,67.75
3,13,22.0599907342221,0.0,13.4210526315789,0.0,0.0,55.0
3,14,10.41013019123,0.0,0.0,0.0,0.0,55.0
3,15,0.0,39.588353437911,0.0,15.708386250082,0.0,92.6089357660155
3,16,0.0,0.0,0.0,43.555703119911,0.0,92.6089357660155
3,17,0.0,0.0,29.5883534379111,0.0,0.0,64.5
3,18,0.0,45.0,0.0,0.885557859759956,0.0,107.25
3,19,62.3649233475979,0.0,55.0,0.0,0.0,55.0
3,20,0.0,23.4210526315789,0.0,22.0127491657901,0.0,77.25
3,21,0.0,0.0,0.0,5.17296886340301,0.0,77.25
3,22,0.0,45.0,0.0,1.36749386067703,0.0,120.0
3,23,0.0,0.0,40.907581679907,0.0,0.0,81.1377974040884
3,24,4.89936678452004,0.0,27.513470951672,0.0,0.0,55.0
